r_um,fluence_mJ_cm2
-2.434782608695652328e+01,1.301652892561983421e+01
-2.417391304347826164e+01,1.322314049586776896e+01
-2.400000000000000000e+01,1.334710743801652910e+01
-2.382608695652173836e+01,1.363636363636363669e+01
-2.365217391304347672e+01,1.376033057851239683e+01
-2.347826086956521863e+01,1.396694214876032980e+01
-2.330434782608695699e+01,1.417355371900826455e+01
-2.313043478260869534e+01,1.429752066115702469e+01
-2.295652173913043370e+01,1.450413223140495944e+01
-2.278260869565217561e+01,1.471074380165289242e+01
-2.260869565217391397e+01,1.491735537190082717e+01
-2.243478260869565233e+01,1.508264462809917283e+01
-2.226086956521739069e+01,1.533057851239669489e+01
-2.208695652173912904e+01,1.545454545454545503e+01
-2.191304347826087096e+01,1.566115702479338800e+01
-2.173913043478260931e+01,1.578512396694214814e+01
-2.156521739130434767e+01,1.607438016528925573e+01
-2.139130434782608603e+01,1.619834710743801764e+01
-2.121739130434782439e+01,1.644628099173553792e+01
-2.104347826086956630e+01,1.665289256198347090e+01
-2.086956521739130466e+01,1.685950413223140387e+01
-2.069565217391304301e+01,1.702479338842975309e+01
-2.052173913043478137e+01,1.719008264462809876e+01
-2.034782608695652328e+01,1.743801652892561904e+01
-2.017391304347826164e+01,1.756198347107438096e+01
-2.000000000000000000e+01,1.789256198347107585e+01
-1.982608695652173836e+01,1.801652892561983421e+01
-1.965217391304347672e+01,1.822314049586776719e+01
-1.947826086956521863e+01,1.834710743801652910e+01
-1.930434782608695699e+01,1.859504132231404938e+01
-1.913043478260869534e+01,1.880165289256198236e+01
-1.895652173913043370e+01,1.904958677685950263e+01
-1.878260869565217561e+01,1.921487603305785186e+01
-1.860869565217391397e+01,1.942148760330578483e+01
-1.843478260869565233e+01,1.958677685950413050e+01
-1.826086956521739069e+01,1.983471074380165433e+01
-1.808695652173912904e+01,2.008264462809917461e+01
-1.791304347826087096e+01,2.020661157024793297e+01
-1.773913043478260931e+01,2.049586776859504056e+01
-1.756521739130434767e+01,2.066115702479338978e+01
-1.739130434782608603e+01,2.082644628099173545e+01
-1.721739130434782439e+01,2.107438016528925573e+01
-1.704347826086956630e+01,2.128099173553718870e+01
-1.686956521739130466e+01,2.140495867768595062e+01
-1.669565217391304301e+01,2.169421487603305820e+01
-1.652173913043478137e+01,2.181818181818181657e+01
-1.634782608695652328e+01,2.214876033057851146e+01
-1.617391304347826164e+01,2.223140495867768607e+01
-1.600000000000000000e+01,2.247933884297520635e+01
-1.582608695652173836e+01,2.268595041322313932e+01
-1.565217391304347849e+01,2.280991735537190124e+01
-1.547826086956521685e+01,2.305785123966942152e+01
-1.530434782608695699e+01,2.322314049586776719e+01
-1.513043478260869534e+01,2.347107438016529102e+01
-1.495652173913043548e+01,2.367768595041322399e+01
-1.478260869565217384e+01,2.388429752066115697e+01
-1.460869565217391219e+01,2.404958677685950263e+01
-1.443478260869565233e+01,2.425619834710743916e+01
-1.426086956521739069e+01,2.438016528925619752e+01
-1.408695652173913082e+01,2.466942148760330511e+01
-1.391304347826086918e+01,2.483471074380165433e+01
-1.373913043478260931e+01,2.508264462809917461e+01
-1.356521739130434767e+01,2.524793388429752028e+01
-1.339130434782608781e+01,2.545454545454545325e+01
-1.321739130434782616e+01,2.557851239669421517e+01
-1.304347826086956452e+01,2.574380165289256084e+01
-1.286956521739130466e+01,2.599173553719008112e+01
-1.269565217391304301e+01,2.615702479338843034e+01
-1.252173913043478315e+01,2.640495867768595062e+01
-1.234782608695652151e+01,2.657024793388429629e+01
-1.217391304347826164e+01,2.673553719008264551e+01
-1.200000000000000000e+01,2.681818181818181657e+01
-1.182608695652173836e+01,2.714876033057851146e+01
-1.165217391304347849e+01,2.723140495867768607e+01
-1.147826086956521685e+01,2.747933884297520635e+01
-1.130434782608695699e+01,2.764462809917355202e+01
-1.113043478260869534e+01,2.780991735537190124e+01
-1.095652173913043548e+01,2.793388429752065960e+01
-1.078260869565217384e+01,2.809917355371900882e+01
-1.060869565217391219e+01,2.830578512396694180e+01
-1.043478260869565233e+01,2.847107438016529102e+01
-1.026086956521739069e+01,2.867768595041322399e+01
-1.008695652173913082e+01,2.880165289256198236e+01
-9.913043478260869179e+00,2.900826446280991888e+01
-9.739130434782609314e+00,2.913223140495867725e+01
-9.565217391304347672e+00,2.929752066115702647e+01
-9.391304347826087806e+00,2.942148760330578483e+01
-9.217391304347826164e+00,2.958677685950413050e+01
-9.043478260869564522e+00,2.975206611570247972e+01
-8.869565217391304657e+00,2.991735537190082539e+01
-8.695652173913043015e+00,3.000000000000000000e+01
-8.521739130434783149e+00,3.024793388429752028e+01
-8.347826086956521507e+00,3.033057851239669489e+01
-8.173913043478261642e+00,3.045454545454545325e+01
-8.000000000000000000e+00,3.066115702479338978e+01
-7.826086956521739246e+00,3.074380165289256084e+01
