r_um,fluence_mJ_cm2
3.460869565217391397e+01,4.834710743801652555e+00
3.478260869565217206e+01,4.793388429752066138e+00
3.495652173913043725e+01,4.669421487603305998e+00
3.513043478260869534e+01,4.586776859504132275e+00
3.530434782608695343e+01,4.462809917355372136e+00
3.547826086956521863e+01,4.380165289256198413e+00
3.565217391304347672e+01,4.338842975206611996e+00
3.582608695652174191e+01,4.214876033057850968e+00
3.600000000000000000e+01,4.173553719008264551e+00
3.617391304347825809e+01,4.049586776859504411e+00
3.634782608695652328e+01,3.966942148760330689e+00
3.652173913043478137e+01,3.884297520661156966e+00
3.669565217391304657e+01,3.842975206611570105e+00
3.686956521739130466e+01,3.719008264462809965e+00
3.704347826086956275e+01,3.677685950413223104e+00
3.721739130434782794e+01,3.595041322314049381e+00
3.739130434782608603e+01,3.553719008264462964e+00
3.756521739130435122e+01,3.429752066115702380e+00
3.773913043478260931e+01,3.388429752066115519e+00
3.791304347826086740e+01,3.305785123966942241e+00
3.808695652173913260e+01,3.223140495867768518e+00
3.826086956521739069e+01,3.140495867768595240e+00
3.843478260869564878e+01,3.140495867768595240e+00
3.860869565217391397e+01,3.057851239669421517e+00
3.878260869565217206e+01,2.975206611570247794e+00
3.895652173913043725e+01,2.892561983471074516e+00
3.913043478260869534e+01,2.809917355371900793e+00
3.930434782608695343e+01,2.809917355371900793e+00
3.947826086956521863e+01,2.685950413223140654e+00
3.965217391304347672e+01,2.685950413223140654e+00
3.982608695652174191e+01,2.603305785123966931e+00
4.000000000000000000e+01,2.561983471074380070e+00
4.017391304347825809e+01,2.479338842975206791e+00
4.034782608695652328e+01,2.438016528925619930e+00
4.052173913043478137e+01,2.355371900826446208e+00
4.069565217391304657e+01,2.314049586776859346e+00
4.086956521739130466e+01,2.272727272727272929e+00
4.104347826086956275e+01,2.231404958677686068e+00
4.121739130434782794e+01,2.190082644628099207e+00
4.139130434782608603e+01,2.107438016528925484e+00
4.156521739130435122e+01,2.024793388429752206e+00
4.173913043478260931e+01,2.024793388429752206e+00
4.191304347826086740e+01,1.983471074380165344e+00
4.208695652173913260e+01,1.942148760330578483e+00
4.226086956521739069e+01,1.900826446280991844e+00
4.243478260869564878e+01,1.859504132231404983e+00
4.260869565217391397e+01,1.776859504132231482e+00
4.278260869565217206e+01,1.776859504132231482e+00
4.295652173913043725e+01,1.735537190082644621e+00
4.313043478260869534e+01,1.694214876033057759e+00
4.330434782608695343e+01,1.611570247933884259e+00
4.347826086956521863e+01,1.611570247933884259e+00
4.365217391304347672e+01,1.528925619834710758e+00
4.382608695652174191e+01,1.528925619834710758e+00
4.400000000000000000e+01,1.446280991735537258e+00
4.417391304347825809e+01,1.446280991735537258e+00
4.434782608695652328e+01,1.446280991735537258e+00
4.452173913043478137e+01,1.363636363636363535e+00
4.469565217391304657e+01,1.363636363636363535e+00
4.486956521739130466e+01,1.280991735537190035e+00
4.504347826086956275e+01,1.280991735537190035e+00
4.521739130434782794e+01,1.239669421487603396e+00
4.539130434782608603e+01,1.198347107438016534e+00
4.556521739130435122e+01,1.198347107438016534e+00
4.573913043478260931e+01,1.198347107438016534e+00
4.591304347826086740e+01,1.115702479338843034e+00
4.608695652173913260e+01,1.115702479338843034e+00
4.626086956521739069e+01,1.033057851239669311e+00
4.643478260869564878e+01,1.033057851239669311e+00
4.660869565217391397e+01,1.033057851239669311e+00
4.678260869565217206e+01,9.504132231404959219e-01
4.695652173913043725e+01,9.504132231404959219e-01
4.713043478260869534e+01,9.504132231404959219e-01
4.730434782608695343e+01,9.504132231404959219e-01
4.747826086956521863e+01,9.090909090909090606e-01
4.765217391304347672e+01,8.677685950413223104e-01
4.782608695652174191e+01,8.677685950413223104e-01
4.800000000000000000e+01,8.264462809917355601e-01
4.817391304347825809e+01,7.851239669421488099e-01
