t	wavelength_um	x_um	m	epsilon_real	epsilon_imag
0.7	5.4	-24.4744744744745	0.0422807332537695	14.4381352288006	0.0211464721658589
0.7	5.4	-24.4144144144144	0.0430130012779485	14.4438444980248	0.0215276593139924
0.7	5.4	-24.3543543543544	0.0437452693021274	14.4495577174752	0.0219093712277729
0.7	5.4	-24.2942942942943	0.0440560138098238	14.451983368255	0.0220715128980574
0.7	5.4	-24.2342342342342	0.0443001031512167	14.45388921284	0.0221989413475006
0.7	5.4	-24.1741741741742	0.0447741997566146	14.4575922060211	0.0224466136977837
0.7	5.4	-24.1141141141141	0.0452675418677763	14.4614472811369	0.0227045744961038
0.7	5.4	-24.0540540540541	0.0459998098919552	14.4671726883899	0.0230879072197388
0.7	5.4	-23.993993993994	0.0466466466466465	14.4722334310339	0.0234269570487812
0.7	5.4	-23.9339339339339	0.0465246019759501	14.4712783368874	0.0233629538169392
0.7	5.4	-23.8738738738739	0.0465116934050111	14.4711773237632	0.0233561851032203
0.7	5.4	-23.8138138138138	0.0469998720877971	14.4749983155122	0.023612279968538
0.7	5.4	-23.7537537537538	0.047488050770583	14.4788210728282	0.0238686100483392
0.7	5.4	-23.6936936936937	0.0479762294533689	14.4826455969298	0.024125175587096
0.7	5.4	-23.6336336336336	0.0488751353933065	14.4896924955856	0.0245982183242673
0.7	5.4	-23.5735735735736	0.0505837607830574	14.5031036763174	0.0254995787519983
0.7	5.4	-23.5135135135135	0.0515826494724501	14.5109541245213	0.0260278721123629
0.7	5.4	-23.4534534534535	0.0515826494724501	14.5109541245213	0.0260278721123629
0.7	5.4	-23.3933933933934	0.0518239223983655	14.5128514475825	0.0261556258337255
0.7	5.4	-23.3333333333333	0.0523121010811514	14.5166917174556	0.026414293431913
0.7	5.4	-23.2732732732733	0.0532199256701015	14.5238378732034	0.0268959483924269
0.7	5.4	-23.2132132132132	0.0544403723770664	14.5334546158186	0.0275447671810647
0.7	5.4	-23.1531531531532	0.0551834366605762	14.53931519308	0.0279405292695608
0.7	5.4	-23.0930930930931	0.0556716153433621	14.5431677297323	0.0282008389944138
0.7	5.4	-23.033033033033	0.056159794026148	14.5470220537666	0.0284613883216283
0.7	5.4	-22.972972972973	0.056647972708934	14.5508781664215	0.0287221775010942
0.7	5.4	-22.9129129129129	0.0568397236627013	14.5523932925006	0.0288246781443923
0.7	5.4	-22.8528528528529	0.0569617683333978	14.5533577760799	0.028889936530755
0.7	5.4	-22.7927927927928	0.0569753810082062	14.5534653600318	0.0288972162815658
0.7	5.4	-22.7327327327327	0.0569753810082062	14.5534653600318	0.0288972162815658
0.7	5.4	-22.6726726726727	0.0569753810082062	14.5534653600318	0.0288972162815658
0.7	5.4	-22.6126126126126	0.057020443655848	14.5538215099442	0.028921316099899
0.7	5.4	-22.5525525525526	0.0579968010214199	14.5615418399513	0.0294439819320697
0.7	5.4	-22.4924924924925	0.0588206025486212	14.5680614475125	0.029885730340113
0.7	5.4	-22.4324324324324	0.0585765132072282	14.5661291792013	0.029754770365282
0.7	5.4	-22.3723723723724	0.0584319372127109	14.5649848934159	0.0296772301898618
0.7	5.4	-22.3123123123123	0.0586760265541039	14.5669168959444	0.0298081544604574
0.7	5.4	-22.2522522522523	0.0589201158954968	14.5688493472287	0.029939139017343
0.7	5.4	-22.1921921921922	0.0591642052368898	14.5707822474245	0.0300701838919839
0.7	5.4	-22.1321321321321	0.0594082945782828	14.5727155966875	0.0302012891158648
0.7	5.4	-22.0720720720721	0.0596523839196757	14.5746493951736	0.0303324547204899
0.7	5.4	-22.012012012012	0.0601114596425263	14.5782876413705	0.0305793106376017
0.7	5.4	-21.951951951952	0.0608437276667053	14.5840942714096	0.0309735113504545
0.7	5.4	-21.8918918918919	0.0611324102531604	14.5863845367896	0.0311290671594528
0.7	5.4	-21.8318318318318	0.061010365582464	14.5854162176716	0.031063293387594
0.7	5.4	-21.7717717717718	0.0613992656196641	14.5885021960159	0.0312729368288973
0.7	5.4	-21.7117117117117	0.0621315336438431	14.5943159536505	0.0316680967502193
0.7	5.4	-21.6516516516517	0.063029031376042	14.6014470696884	0.0321531665701366
0.7	5.4	-21.5915915915916	0.0640053887416139	14.6092117023259	0.0326817919277077
0.7	5.4	-21.5315315315315	0.0647972708934022	14.6155145803445	0.0331112540442985
0.7	5.4	-21.4714714714715	0.0655295389175811	14.6213472076964	0.0335089576649272
