profile	wavelength_um	x_um	m	n_eff	k_eff
3	3.5	4.59459459459459	0.99543378995434	5.39103523289247	0.098939986111613
3	3.5	4.65465465465465	0.99543378995434	5.39103523289247	0.098939986111613
3	3.5	4.71471471471471	0.99543378995434	5.39103523289247	0.098939986111613
3	3.5	4.77477477477477	0.99543378995434	5.39103523289247	0.098939986111613
3	3.5	4.83483483483483	0.99543378995434	5.39103523289247	0.098939986111613
3	3.5	4.89489489489489	0.99543378995434	5.39103523289247	0.098939986111613
3	3.5	4.95495495495495	0.99543378995434	5.39103523289247	0.098939986111613
3	3.5	5.01501501501502	0.99543378995434	5.39103523289247	0.098939986111613
3	3.5	5.07507507507508	0.99543378995434	5.39103523289247	0.098939986111613
3	3.5	5.13513513513514	0.99543378995434	5.39103523289247	0.098939986111613
3	3.5	5.1951951951952	0.99543378995434	5.39103523289247	0.098939986111613
3	3.5	5.25525525525526	0.99543378995434	5.39103523289247	0.098939986111613
3	3.5	5.31531531531532	0.995584625721611	5.39142861277882	0.0989748139901486
3	3.5	5.37537537537538	0.996773028736501	5.39453071064948	0.0992496621856105
3	3.5	5.43543543543544	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	5.4954954954955	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	5.55555555555556	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	5.61561561561562	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	5.67567567567568	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	5.73573573573574	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	5.7957957957958	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	5.85585585585586	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	5.91591591591592	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	5.97597597597598	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	6.03603603603604	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	6.0960960960961	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	6.15615615615616	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	6.21621621621622	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	6.27627627627628	0.998617338799987	5.39935458424916	0.0996777808490393
3	3.5	6.33633633633634	0.999805741814873	5.40246914605416	0.0999546639873288
3	3.5	6.3963963963964	1	5.40297872340426	0.1
3	3.5	6.45645645645646	1	5.40297872340426	0.1
3	3.5	6.51651651651652	1	5.40297872340426	0.1
3	3.5	6.57657657657658	1	5.40297872340426	0.1
3	3.5	6.63663663663664	1	5.40297872340426	0.1
3	3.5	6.6966966966967	1	5.40297872340426	0.1
3	3.5	6.75675675675676	1	5.40297872340426	0.1
3	3.5	6.81681681681682	1	5.40297872340426	0.1
3	3.5	6.87687687687688	1	5.40297872340426	0.1
3	3.5	6.93693693693694	1	5.40297872340426	0.1
3	3.5	6.996996996997	1	5.40297872340426	0.1
3	3.5	7.05705705705706	1	5.40297872340426	0.1
3	3.5	7.11711711711712	1	5.40297872340426	0.1
3	3.5	7.17717717717718	1	5.40297872340426	0.1
3	3.5	7.23723723723724	1	5.40297872340426	0.1
3	3.5	7.2972972972973	1	5.40297872340426	0.1
3	3.5	7.35735735735736	1	5.40297872340426	0.1
3	3.5	7.41741741741742	1	5.40297872340426	0.1
3	3.5	7.47747747747748	1	5.40297872340426	0.1
3	3.5	7.53753753753754	1	5.40297872340426	0.1
3	3.5	7.5975975975976	1	5.40297872340426	0.1
3	3.5	7.65765765765766	1	5.40297872340426	0.1
3	3.5	7.71771771771772	1	5.40297872340426	0.1
3	3.5	7.77777777777778	1	5.40297872340426	0.1
3	3.5	7.83783783783784	1	5.40297872340426	0.1
3	3.5	7.8978978978979	1	5.40297872340426	0.1
3	3.5	7.95795795795796	1	5.40297872340426	0.1
3	3.5	8.01801801801802	1	5.40297872340426	0.1
3	3.5	8.07807807807808	1	5.40297872340426	0.1
3	3.5	8.13813813813814	1	5.40297872340426	0.1
3	3.5	8.1981981981982	1	5.40297872340426	0.1
3	3.5	8.25825825825826	1	5.40297872340426	0.1
3	3.5	8.31831831831832	0.999789744081981	5.40242718670507	0.0999509313896891
3	3.5	8.37837837837838	0.998601341067095	5.39931269087001	0.0996740590388722
3	3.5	8.43843843843844	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	8.4984984984985	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	8.55855855855856	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	8.61861861861862	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	8.67867867867868	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	8.73873873873874	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	8.7987987987988	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	8.85885885885886	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	8.91891891891892	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	8.97897897897898	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	9.03903903903904	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	9.0990990990991	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	9.15915915915916	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	9.21921921921922	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	9.27927927927928	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	9.33933933933934	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	9.3993993993994	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	9.45945945945946	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	9.51951951951952	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	9.57957957957958	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	9.63963963963964	0.997716894977168	5.39699796445215	0.0994685213882949
3	3.5	9.6996996996997	0.997570629990723	5.39661542815358	0.0994345732630307
3	3.5	9.75975975975976	0.996382226975834	5.3935100604586	0.0991591918322107
3	3.5	9.81981981981982	0.995193823960948	5.39040956258447	0.0988846044003861
3	3.5	9.87987987987988	0.994005420946062	5.3873139216361	0.0986108078943184
3	3.5	9.93993993993994	0.993150684931508	5.38509043706579	0.0984143723074571
3	3.5	10	0.993150684931508	5.38509043706579	0.0984143723074571
3	3.5	10.0600600600601	0.992295948916954	5.38286945353701	0.0982183431455556
3	3.5	10.1201201201201	0.989919142887178	5.37670656391176	0.0976753623087357
3	3.5	10.1801801801802	0.988584474885844	5.37325428921195	0.0973718226901836
3	3.5	10.2402402402402	0.988584474885844	5.37325428921195	0.0973718226901836
3	3.5	10.3003003003003	0.987354934843519	5.37007928284377	0.097093056162436
3	3.5	10.3603603603604	0.984978128813744	5.36395619619086	0.0965565135079739
3	3.5	10.4204204204204	0.983309793812078	5.35966961045139	0.0961817312902642
3	3.5	10.4804804804805	0.982121390797189	5.35662183989021	0.0959156782792628
3	3.5	10.5405405405405	0.979328643712208	5.34947812912656	0.0952934326173628
