x_t_over_tau,B_terms_5,relative_error_terms_5,pseudo_Xc_terms_5,B_terms_10,relative_error_terms_10,pseudo_Xc_terms_10,B_terms_20,relative_error_terms_20,pseudo_Xc_terms_20,B_terms_50,relative_error_terms_50,pseudo_Xc_terms_50,B_terms_120,relative_error_terms_120,pseudo_Xc_terms_120,B_terms_300,relative_error_terms_300,pseudo_Xc_terms_300,B_terms_800,relative_error_terms_800,pseudo_Xc_terms_800
4.605922041145103524e-04,3.403391172461522896e-07,4.904803589050000000e+10,3.403390593308015344e-07,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.469446951953614189e-18,5.000000000000000000e-01,3.469446951953614189e-18,6.938893903907228378e-18,0.000000000000000000e+00,6.938893903907228378e-18
4.937047852839003808e-04,3.646097857176733292e-07,3.503053856100000000e+10,3.646097192475334876e-07,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.938893903907228378e-18,3.333333333333333148e-01,6.938893903907228378e-18,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.291978735958442325e-04,3.905961615466302383e-07,1.125816785650000000e+11,3.905960852639594510e-07,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.938893903907228378e-18,1.000000000000000000e+00,6.938893903907228378e-18,3.469446951953614189e-18,0.000000000000000000e+00,3.469446951953614189e-18
5.672426068491977658e-04,4.184172862527202330e-07,1.206005718040000000e+11,4.184171987162197307e-07,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.938893903907228378e-18,1.000000000000000000e+00,6.938893903907228378e-18,1.040834085586084257e-17,2.000000000000000000e+00,1.040834085586084257e-17
6.080224261649420404e-04,4.482001271788327301e-07,4.482001271788326872e+293,4.482000267371708069e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.938893903907228378e-18,6.938893903907227710e+282,6.938893903907228378e-18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.517339604882420442e-04,4.800800551957307150e-07,1.383736548910000000e+11,4.800799399573194281e-07,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.938893903907228378e-18,1.000000000000000000e+00,6.938893903907228378e-18,6.938893903907228378e-18,1.000000000000000000e+00,6.938893903907228378e-18
6.985879746785249268e-04,5.142013433448444637e-07,5.142013433448444632e+293,5.142012111433564461e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.488103857590022510e-04,5.507176863081553186e-07,2.645559431200000000e+10,5.507175346631981562e-07,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.387778780781445676e-17,3.333333333333333148e-01,1.387778780781445676e-17,2.081668171172168513e-17,0.000000000000000000e+00,2.081668171172168513e-17
8.026433522257173624e-04,5.897927398204605431e-07,8.499809162400000000e+10,5.897925658927568210e-07,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.938893903907228378e-18,0.000000000000000000e+00,6.938893903907228378e-18,1.387778780781445676e-17,1.000000000000000000e+00,1.387778780781445676e-17
8.603464416684500826e-04,6.316006793613548886e-07,9.102325069400000000e+10,6.316004799016878093e-07,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.387778780781445676e-17,1.000000000000000000e+00,1.387778780781445676e-17,2.081668171172168513e-17,2.000000000000000000e+00,2.081668171172168513e-17
